"id","type","processing_method","day","shift","details","sku_id","qty","op_pallet_pick","op_cont_pick","op_cont_deliver","op_cont_aboard","op_load_deliver"
245673,"3","b","THU","D",4,1033531,450,1,0,0,0,4
245673,"3","b","THU","D",4,1032755,1200,1,0,0,0,4
245673,"3","b","THU","D",4,1033157,3600,1,0,0,0,4
245673,"3","b","THU","D",4,1032922,3000,1,0,0,0,4
245717,"3","b","WED","D",8,1032789,2000000,29,0,0,0,33
245717,"3","b","WED","D",8,1032785,500000,29,0,0,0,33
245717,"3","b","WED","D",8,1033546,18000,29,0,0,0,33
245717,"3","b","WED","D",8,1033157,18000,29,0,0,0,33
245717,"3","b","WED","D",8,1032985,12000,29,0,0,0,33
245717,"3","b","WED","D",8,1032749,27000,29,0,0,0,33
245717,"3","b","WED","D",8,1033412,3000,29,0,0,0,33
245717,"3","b","WED","D",8,1033163,960,29,0,0,0,33
246206,"0","a","SAT","D",7,1033387,8,0,1,1.71428571,6,0
246206,"0","a","SAT","D",7,1032910,8,0,1,1.71428571,6,0
246206,"0","a","SAT","D",7,1033504,12,0,1,1.71428571,6,0
246206,"0","a","SAT","D",7,1033508,8,0,0,1.71428571,6,0
246206,"0","a","SAT","D",7,1033586,12,0,1,1.71428571,6,0
246206,"0","a","SAT","D",7,1033368,6,0,1,1.71428571,6,0
246206,"0","a","SAT","D",7,1033537,12,0,1,1.71428571,6,0
246227,"0","a","SAT","D",8,1033508,8,1,0,0,0,0
246227,"0","a","SAT","D",8,1032759,30,1,0,0,0,0
246227,"0","a","SAT","D",8,1033125,30,1,0,0,0,0
246227,"0","a","SAT","D",8,1033079,30,1,0,0,0,0
246227,"0","a","SAT","D",8,1033586,6,1,0,0,0,0
246227,"0","a","SAT","D",8,1032919,6,1,0,0,0,0
246227,"0","a","SAT","D",8,1032789,696000,1,0,0,0,0
246227,"0","a","SAT","D",8,1032787,6000,1,0,0,0,0
246241,"0","a","SAT","D",8,1032933,15,0,2,4.375,6,0
246241,"0","a","SAT","D",8,1033504,6,0,1,4.375,6,0
246241,"0","a","SAT","D",8,1032755,6,0,1,4.375,6,0
246241,"0","a","SAT","D",8,1033508,8,0,0,4.375,6,0
246241,"0","a","SAT","D",8,1033586,6,0,1,4.375,6,0
246241,"0","a","SAT","D",8,1033368,6,0,1,4.375,6,0
246241,"0","a","SAT","D",8,1032919,6,0,0,4.375,6,0
246241,"0","a","SAT","D",8,1032759,10,0,1,4.375,6,0
246325,"0","a","MON","D",8,1032933,15,0,1,0,6,0
246325,"0","a","MON","D",8,1033504,6,0,1,0,6,0
246325,"0","a","MON","D",8,1032755,6,0,1,0,6,0
246325,"0","a","MON","D",8,1033508,8,0,0,0,6,0
246325,"0","a","MON","D",8,1033586,6,0,1,0,6,0
246325,"0","a","MON","D",8,1033368,6,0,1,0,6,0
246325,"0","a","MON","D",8,1032919,6,0,0,0,6,0
246325,"0","a","MON","D",8,1032759,10,0,1,0,6,0
246342,"p","b","MON","D",6,1033604,864,3,0,0,0,6
246342,"p","b","MON","D",6,1033421,3456,3,0,0,0,6
246342,"p","b","MON","D",6,1033484,2560,3,0,0,0,6
246342,"p","b","MON","D",6,1033494,204,3,0,0,0,6
246342,"p","b","MON","D",6,1032892,150,3,0,0,0,6
246342,"p","b","MON","D",6,1033117,210,3,0,0,0,6
246406,"0","a","MON","D",2,1033601,12,0,1,2,2,0
246406,"0","a","MON","D",2,1033599,12,0,1,2,2,0
246408,"3","b","MON","D",20,1032926,960,1,0,0,0,0
246408,"3","b","MON","D",20,1032928,96,1,0,0,0,0
246408,"3","b","MON","D",20,1032857,105,1,0,0,0,0
246408,"3","b","MON","D",20,1032787,60000,1,0,0,0,0
246408,"3","b","MON","D",20,1033011,48,1,0,0,0,0
246408,"3","b","MON","D",20,1032821,45,1,0,0,0,0
246408,"3","b","MON","D",20,1033178,30,1,0,0,0,0
246408,"3","b","MON","D",20,1033112,30,1,0,0,0,0
246408,"3","b","MON","D",20,1033406,18,1,0,0,0,0
246408,"3","b","MON","D",20,1033182,6,1,0,0,0,0
246408,"3","b","MON","D",20,1033306,72,1,0,0,0,0
246408,"3","b","MON","D",20,1033530,60,1,0,0,0,0
246408,"3","b","MON","D",20,1033427,84,1,0,0,0,0
246408,"3","b","MON","D",20,1033502,10,1,0,0,0,0
246408,"3","b","MON","D",20,1033416,32,1,0,0,0,0
246408,"3","b","MON","D",20,1033388,16,1,0,0,0,0
246408,"3","b","MON","D",20,1033419,72,1,0,0,0,0
